,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
130,AL,25111,"Programmers, Numerical Tool and Process Control",40,16.37,34060,1997
131,AL,25199,All Other Computer Scientists,600,24.22,50380,1997
132,AL,25302,"Operations and Systems Researchers and Analysts, Except Computer",1020,25.97,54020,1997
133,AL,25312,Statisticians,80,19.54,40640,1997
134,AL,25313,Actuaries,50,23.06,47970,1997
135,AL,25315,"Financial Analysts, Statistical",110,16.67,34670,1997
136,AL,25319,All Other Mathematical Scientists,110,29.69,61750,1997
137,AL,27000,"Social Scientists and Other Social, Recreational, and Religious Occupations",**,15.24,31710,1997
138,AL,27102,"Economists, Including Market Research Analysts",160,20.16,41920,1997
139,AL,27105,Urban and Regional Planners,320,19.88,41350,1997
140,AL,27108,Psychologists,900,21.73,45200,1997
141,AL,27199,All Other Social Scientists,400,18.70,38900,1997
142,AL,27302,"Social Workers, Medical and Psychiatric",4100,13.15,27350,1997
143,AL,27305,"Social Workers, Except Medical and Psychiatric",4290,13.86,28820,1997
144,AL,27307,Residential Counselors,1130,10.44,21710,1997
145,AL,27308,Human Services Workers,2790,9.19,19110,1997
146,AL,27311,Recreation Workers,2860,8.71,18120,1997
147,AL,27502,Clergy,160,14.62,30420,1997
148,AL,28000,Law and Related Occupations,**,*,*,1997
149,AL,28102,Judges and Magistrates,670,22.23,46230,1997
150,AL,28108,Lawyers,4500,33.31,69280,1997
151,AL,28302,Law Clerks,810,9.96,20720,1997
152,AL,28305,Paralegal Personnel,1100,15.14,31490,1997
153,AL,28308,Title Searchers,210,9.49,19730,1997
154,AL,28311,Title Examiners and Abstractors,120,13.62,28330,1997
155,AL,28399,"All Other Legal Assistants and Technicians, Except Clerical",180,12.51,26010,1997
156,AL,31000,"Teachers, Educators, Librarians, and Related Occupations",**,7.74,16100,1997
157,AL,31114,"Nursing Instructors, Postsecondary",760,*,43510,1997
158,AL,31117,"Graduate Assistants, Teaching",80,*,16080,1997
159,AL,31201,"Agricultural Sciences Teachers, Postsecondary",**,*,49970,1997
160,AL,31202,"Life Sciences Teachers, Postsecondary",490,*,48930,1997
161,AL,31204,"Chemistry Teachers, Postsecondary",140,*,42990,1997
162,AL,31206,"Physics Teachers, Postsecondary",120,*,48270,1997
163,AL,31209,"All Other Physical Sciences Teachers, Postsecondary",150,*,44720,1997
