,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
1741,AZ,87102,Carpenters,19420,12.77,26560,1997
1742,AZ,87105,Ceiling Tile Installers and Acoustical Carpenters,**,16.21,33710,1997
1743,AZ,87108,Drywall Installers,4600,11.77,24470,1997
1744,AZ,87111,Tapers,3490,11.34,23580,1997
1745,AZ,87114,Lathers,1520,9.46,19680,1997
1746,AZ,87202,Electricians,11840,14.15,29430,1997
1747,AZ,87302,Brickmasons,1720,14.95,31090,1997
1748,AZ,87305,Stonemasons,510,13.67,28430,1997
1749,AZ,87308,Hard Tile Setters,300,14.42,30000,1997
1750,AZ,87311,Concrete and Terrazzo Finishers,4800,12.64,26290,1997
1751,AZ,87314,Reinforcing Metal Workers,**,11.27,23450,1997
1752,AZ,87317,Plasterers and Stucco Masons,1980,12.59,26180,1997
1753,AZ,87402,"Painters and Paperhangers, Construction and Maintenance",6180,10.79,22440,1997
1754,AZ,87502,"Plumbers, Pipefitters, and Steamfitters",8020,14.67,30520,1997
1755,AZ,87505,Pipelaying Fitters,**,15.57,32380,1997
1756,AZ,87508,Pipelayers,1350,10.48,21800,1997
1757,AZ,87511,Septic Tank Servicers and Sewer Pipe Cleaners,60,9.27,19290,1997
1758,AZ,87602,Carpet Installers,1320,11.00,22880,1997
1759,AZ,87605,"Floor Layers, Except Carpet, Wood, and Hard Tiles",390,14.78,30740,1997
1760,AZ,87708,"Paving, Surfacing, and Tamping Equipment Operators",1460,11.96,24880,1997
1761,AZ,87711,Highway Maintenance Workers,740,11.07,23030,1997
1762,AZ,87802,Insulation Workers,**,9.41,19570,1997
1763,AZ,87803,Hazardous Materials Removal Workers,**,16.50,34320,1997
1764,AZ,87805,Sheet Metal Duct Installers,2130,14.04,29200,1997
1765,AZ,87808,Roofers,2900,11.79,24520,1997
1766,AZ,87811,Glaziers,1470,12.59,26190,1997
1767,AZ,87814,Structural Metal Workers,610,13.74,28580,1997
1768,AZ,87817,Fence Erectors,640,11.45,23810,1997
1769,AZ,87899,All Other Construction Trades Workers,1120,12.82,26660,1997
1770,AZ,87902,"Earth Drillers, Except Oil and Gas",690,13.28,27620,1997
1771,AZ,87905,Blasters and Explosives Workers,60,16.55,34430,1997
1772,AZ,87908,"Rock Splitters, Quarry",120,8.98,18690,1997
1773,AZ,87989,"All Other Extractive Workers, Except Helpers",190,11.73,24400,1997
1774,AZ,87999,"All Other Construction and Extractive Workers, Except Helpers",3140,13.04,27130,1997
1775,AZ,89000,Precision Production Occupations,**,*,*,1997
1776,AZ,89102,Tool and Die Makers,950,17.05,35460,1997
1777,AZ,89108,Machinists,6170,14.40,29950,1997
1778,AZ,89111,"Tool Grinders, Filers, Sharpeners, and Other Precision Grinders",490,10.50,21830,1997
1779,AZ,89117,"Precision Lay-Out Workers, Metal",180,11.72,24370,1997
1780,AZ,89123,Jewelers and Silversmiths,470,11.58,24090,1997
1781,AZ,89126,"Precision Hand Workers, Jewelry and Related Products",130,11.75,24440,1997
1782,AZ,89128,"Precision Etchers and Engravers, Hand or Machine",60,10.48,21810,1997
1783,AZ,89132,Sheet Metal Workers,2470,12.09,25150,1997
1784,AZ,89199,All Other Precision Metal Workers,180,10.41,21660,1997
1785,AZ,89302,"Pattern and Model Makers, Wood",90,10.16,21120,1997
1786,AZ,89305,"Pattern Markers, Wood",60,7.43,15450,1997
1787,AZ,89308,Wood Machinists,750,9.59,19950,1997
1788,AZ,89311,Cabinetmakers and Bench Carpenters,2300,10.78,22420,1997
1789,AZ,89314,Furniture Finishers,510,7.91,16450,1997
1790,AZ,89399,All Other Precision Woodworkers,200,10.71,22280,1997
1791,AZ,89502,Fabric and Apparel Patternmakers and Lay-Out Workers,40,6.93,14420,1997
1792,AZ,89505,Custom Tailors and Sewers,550,7.90,16430,1997
1793,AZ,89508,Upholsterers,550,11.45,23810,1997
1794,AZ,89511,"Shoe and Leather Workers and Repairers, Precision",110,7.47,15540,1997
1795,AZ,89514,"Spotters, Dry-Cleaning",120,10.23,21270,1997
1796,AZ,89517,"Pressers, Delicate Fabrics",300,8.24,17130,1997
1797,AZ,89599,"All Other Precision Textile, Apparel, and Furnishings Workers",70,9.01,18730,1997
1798,AZ,89702,Hand Compositors and Typesetters,150,12.56,26120,1997
1799,AZ,89705,Job Printers,200,11.68,24290,1997
1800,AZ,89706,Paste-Up Workers,80,8.56,17810,1997
1801,AZ,89707,Electronic Pagination System Operators,230,11.58,24080,1997
1802,AZ,89713,Camera Operators,**,12.92,26880,1997
1803,AZ,89715,Scanner Operators,50,12.68,26380,1997
1804,AZ,89717,Strippers,220,13.55,28170,1997
1805,AZ,89718,Platemakers,110,11.41,23730,1997
1806,AZ,89802,Slaughterers and Butchers,**,9.32,19390,1997
1807,AZ,89805,"Bakers, Manufacturing",730,8.78,18270,1997
1808,AZ,89808,Food Batchmakers,**,6.65,13830,1997
1809,AZ,89902,Precision Foundry Mold and Coremakers,80,8.94,18590,1997
1810,AZ,89905,"Precision Molders, Shapers, Casters, and Carvers, Except Jewelry and Foundry",230,12.14,25250,1997
1811,AZ,89908,"Precision Patternmakers, Model Makers, Lay-Out Workers, and Cutters",30,14.85,30880,1997
1812,AZ,89911,Precision Detail Design Decorators and Painters,**,9.02,18760,1997
1813,AZ,89914,Precision Photographic Process Workers,170,10.82,22510,1997
1814,AZ,89917,Precision Optical Goods Workers,370,8.49,17660,1997
1815,AZ,89921,Precision Dental Laboratory Technicians,650,13.45,27970,1997
1816,AZ,89923,Medical Appliance Makers,**,9.57,19910,1997
1817,AZ,89999,All Other Precision Workers,1140,10.66,22170,1997
1818,AZ,91000,"Machine Setters, Set-Up Operators, Operators, and Tenders",**,*,*,1997
1819,AZ,91102,"Sawing Machine Tool Setters and Set-Up Operators, Metal and Plastic",160,9.51,19790,1997
1820,AZ,91105,"Lathe and Turning Machine Tool Setters and Set-Up Operators, Metal and Plastic",580,12.88,26780,1997
1821,AZ,91108,"Drilling and Boring Machine Tool Setters and Set-Up Operators, Metal and Plastic",250,8.44,17560,1997
1822,AZ,91111,"Milling and Planing Machine Setters and Set-Up Operators, Metal and Plastic",140,14.89,30960,1997
1823,AZ,91114,"Grinding, Lapping, and Buffing Machine Tool Setters and Set-Up Operators, Metal and Plastic",460,11.88,24710,1997
1824,AZ,91117,"Machine Tool Cutting Operators and Tenders, Metal and Plastic",1140,10.45,21740,1997
1825,AZ,91302,"Punching Machine Setters and Set-Up Operators, Metal and Plastic",230,9.22,19180,1997
1826,AZ,91305,"Press and Press-Brake Machine Setters and Set-Up Operators, Metal and Plastic",740,9.04,18800,1997
1827,AZ,91308,"Shear and Slitter Machine Setters and Set-Up Operators, Metal and Plastic",140,10.66,22180,1997
1828,AZ,91311,"Extruding and Drawing Machine Setters and Set-Up Operators, Metal and Plastic",310,11.78,24500,1997
1829,AZ,91314,"Rolling Machine Setters and Set-Up Operators, Metal and Plastic",**,11.86,24660,1997
1830,AZ,91321,"Machine Forming Operators and Tenders, Metal and Plastic",1100,9.83,20440,1997
1831,AZ,91502,"Numerical Control Machine Tool Operators and Tenders, Metal and Plastic",1300,13.29,27640,1997
1832,AZ,91505,"Combination Machine Tool Setters and Set-Up Operators, Metal and Plastic",380,10.70,22250,1997
1833,AZ,91508,"Combination Machine Tool Operators and Tenders, Metal and Plastic",**,9.41,19570,1997
1834,AZ,91702,Welding Machine Setters and Set-Up Operators,**,10.68,22200,1997
1835,AZ,91705,Welding Machine Operators and Tenders,760,11.48,23870,1997
1836,AZ,91711,Soldering and Brazing Machine Operators and Tenders,**,8.43,17530,1997
1837,AZ,91714,"Metal Fabricators, Structural Metal Products",910,12.98,27000,1997
1838,AZ,91902,Plastic Molding and Casting Machine Setters and Set-Up Operators,310,9.21,19160,1997
1839,AZ,91905,Plastic Molding and Casting Machine Operators and Tenders,1520,7.61,15830,1997
1840,AZ,91908,"Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators",160,10.30,21410,1997
1841,AZ,91911,"Metal Molding, Coremaking, and Casting Machine Operators and Tenders",160,12.22,25420,1997
1842,AZ,91914,Foundry Mold Assembly and Shake-Out Workers,230,9.64,20050,1997
1843,AZ,91917,"Electrolytic Plating and Coating Machine Setters and Set-Up Operators, Metal and Plastic",60,8.76,18210,1997
1844,AZ,91921,"Electrolytic Plating and Coating Machine Operators and Tenders, Metal and Plastic",440,9.59,19950,1997
1845,AZ,91926,"Nonelectrolytic Plating and Coating Machine Operators and Tenders, Metal and Plastic",200,9.45,19650,1997
1846,AZ,91932,"Heat Treating, Annealing, and Tempering Machine Operators and Tenders, Metal and Plastic",170,11.46,23830,1997
1847,AZ,91935,Furnace Operators and Tenders,140,10.27,21370,1997
1848,AZ,92197,"All Other Metal and Plastic (Cutting, Forming, Fabricating, or Processing) Machine Setters and Set-Up Operators",230,12.24,25460,1997
1849,AZ,92198,"All Other Metal and Plastic (Cutting, Forming, Fabricating, or Processing) Machine Operators and Tenders",450,11.63,24190,1997
1850,AZ,92302,Sawing Machine Setters and Set-Up Operators,60,9.80,20390,1997
1851,AZ,92305,Head Sawyers,90,11.10,23090,1997
1852,AZ,92308,Sawing Machine Operators and Tenders,600,9.43,19610,1997
1853,AZ,92311,"Woodworking Machine Setters and Set-Up Operators, Except Sawing",200,9.01,18730,1997
1854,AZ,92314,"Woodworking Machine Operators and Tenders, Except Sawing",410,7.92,16470,1997
1855,AZ,92510,Printing Press Machine Setters and Set-Up Operators,200,8.29,17240,1997
1856,AZ,92512,Offset Lithographic Press Setters and Set-Up Operators,520,12.70,26410,1997
1857,AZ,92515,Letterpress Setters and Set-Up Operators,200,12.16,25290,1997
1858,AZ,92522,Specialty Materials Printing Machine Setters and Set-Up Operators,120,12.73,26490,1997
1859,AZ,92524,Screen Printing Machine Setters and Set-Up Operators,250,8.32,17310,1997
1860,AZ,92525,Bindery Machine Setters and Set-Up Operators,**,11.34,23580,1997
1861,AZ,92541,Typesetting and Composing Machine Operators and Tenders,190,9.92,20640,1997
1862,AZ,92543,Printing Press Machine Operators and Tenders,1560,12.09,25160,1997
1863,AZ,92545,Photoengraving and Lithographing Machine Operators and Tenders,230,8.79,18280,1997
1864,AZ,92546,Bindery Machine Operators and Tenders,880,8.89,18490,1997
1865,AZ,92549,"All Other Printing, Binding, and Related Machine Operators and Tenders",140,14.33,29800,1997
1866,AZ,92705,"Textile Machine Operators and Tenders, Winding, Twisting, Knitting, Weaving, and Cutting",330,8.77,18250,1997
1867,AZ,92717,"Sewing Machine Operators, Garment",1480,7.15,14860,1997
1868,AZ,92721,"Sewing Machine Operators, Nongarment",1050,7.65,15900,1997
1869,AZ,92723,Shoe Sewing Machine Operators and Tenders,60,5.73,11920,1997
1870,AZ,92726,"Laundry and Dry-Cleaning Machine Operators and Tenders, Except Pressing",1550,7.03,14630,1997
1871,AZ,92728,"Pressing Machine Operators and Tenders, Textile, Garment, and Related Materials",830,6.74,14020,1997
1872,AZ,92902,Electronic Semiconductor Processors,**,13.33,27730,1997
1873,AZ,92905,Motion Picture Projectionists,190,11.02,22920,1997
1874,AZ,92908,Photographic Processing Machine Operators and Tenders,570,9.18,19090,1997
1875,AZ,92914,Paper Goods Machine Setters and Set-Up Operators,350,8.49,17660,1997
1876,AZ,92917,"Cooking Machine Operators and Tenders, Food and Tobacco",80,7.66,15940,1997
1877,AZ,92923,"Furnace, Kiln, Oven, Drier, or Kettle Operators and Tenders",110,12.07,25110,1997
1878,AZ,92935,Chemical Equipment Controllers and Operators,150,11.95,24860,1997
1879,AZ,92938,Chemical Equipment Tenders,**,13.32,27710,1997
1880,AZ,92941,Cutting and Slicing Machine Setters and Set-Up Operators,40,8.42,17520,1997
1881,AZ,92944,Cutting and Slicing Machine Operators and Tenders,250,10.47,21780,1997
1882,AZ,92947,"Painters, Transportation Equipment",490,18.71,38920,1997
1883,AZ,92951,"Coating, Painting, and Spraying Machine Setters and Set-Up Operators",150,10.94,22760,1997
1884,AZ,92953,"Coating, Painting, and Spraying Machine Operators and Tenders",950,9.28,19310,1997
1885,AZ,92956,Cementing and Gluing Machine Operators and Tenders,230,8.57,17820,1997
1886,AZ,92958,"Cleaning, Washing, and Pickling Equipment Operators and Tenders",130,9.02,18760,1997
1887,AZ,92962,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Operators and Tenders",310,10.64,22130,1997
1888,AZ,92965,"Crushing, Grinding, Mixing, and Blending Machine Operators and Tenders",1520,12.22,25410,1997
1889,AZ,92968,"Extruding, Forming, Pressing, and Compacting Machine Setters and Set-Up Operators",**,10.67,22190,1997
1890,AZ,92971,"Extruding, Forming, Pressing, and Compacting Machine Operators and Tenders",730,7.44,15480,1997
1891,AZ,92974,Packaging and Filling Machine Operators and Tenders,3150,8.39,17450,1997
1892,AZ,92997,All Other Machine Setters and Set-Up Operators,2830,11.87,24680,1997
1893,AZ,92998,All Other Machine Operators and Tenders,4900,9.88,20550,1997
1894,AZ,93000,"Hand Occupations, Including Assemblers and Fabricators",**,*,*,1997
1895,AZ,93102,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers, Precision",**,19.52,40600,1997
1896,AZ,93105,Machine Builders and Other Precision Machine Assemblers,250,12.43,25860,1997
1897,AZ,93108,"Fitters, Structural Metal, Precision",**,14.19,29520,1997
1898,AZ,93111,"Electromechanical Equipment Assemblers, Precision",440,12.30,25580,1997
1899,AZ,93114,"Electrical and Electronic Equipment Assemblers, Precision",3640,11.17,23230,1997
1900,AZ,93197,All Other Precision Assemblers,**,8.46,17600,1997
1901,AZ,93902,Machine Assemblers,**,10.91,22700,1997
1902,AZ,93905,Electrical and Electronic Assemblers,**,8.35,17370,1997
1903,AZ,93908,"Coil Winders, Tapers, and Finishers",**,8.28,17230,1997
1904,AZ,93911,"Glaziers, Manufacturing",**,6.76,14060,1997
1905,AZ,93914,Welders and Cutters,4010,12.17,25320,1997
1906,AZ,93917,Solderers and Brazers,**,7.88,16400,1997
1907,AZ,93921,"Pressers, Hand",100,7.15,14880,1997
1908,AZ,93923,"Sewers, Hand",**,7.49,15590,1997
1909,AZ,93926,"Cutters and Trimmers, Hand",460,7.35,15300,1997
1910,AZ,93935,Cannery Workers,**,8.58,17840,1997
1911,AZ,93941,"Metal Pourers and Casters, Basic Shapes",80,11.58,24080,1997
1912,AZ,93944,"Molders and Casters, Hand",430,7.96,16550,1997
1913,AZ,93947,"Painting, Coating, and Decorating Workers, Hand",970,11.21,23330,1997
1914,AZ,93951,"Engraving and Printing Workers, Hand",50,8.25,17160,1997
1915,AZ,93953,"Grinding and Polishing Workers, Hand",750,9.33,19410,1997
1916,AZ,93956,"Assemblers and Fabricators, Except Machine, Electrical, Electronic, and Precision",14210,8.84,18380,1997
1917,AZ,93999,All Other Hand Workers,5680,8.30,17260,1997
1918,AZ,95000,Plant and System Occupations,**,*,*,1997
1919,AZ,95002,Water and Liquid Waste Treatment Plant and System Operators,2260,17.05,35460,1997
1920,AZ,95005,Gas Plant Operators,**,16.86,35070,1997
1921,AZ,95008,Chemical Plant and System Operators,**,16.35,34020,1997
1922,AZ,95028,Power Distributors and Dispatchers,260,25.28,52570,1997
1923,AZ,95032,Stationary Engineers,300,13.69,28480,1997
1924,AZ,95099,All Other Plant and System Operators,1540,11.17,23240,1997
1925,AZ,97000,Transportation and Material-Moving Machine and Vehicle Operators,**,*,*,1997
1926,AZ,97102,"Truck Drivers, Heavy or Tractor-Trailer",21000,13.75,28610,1997
1927,AZ,97105,"Truck Drivers, Light, Include Delivery and Route Workers",25580,10.94,22760,1997
1928,AZ,97108,Bus Drivers,2920,14.31,29770,1997
1929,AZ,97111,"Bus Drivers, School",4570,8.88,18470,1997
1930,AZ,97114,Taxi Drivers and Chauffeurs,1050,7.36,15310,1997
1931,AZ,97117,Driver/Sales Workers,2990,10.33,21500,1997
1932,AZ,97199,All Other Motor Vehicle Operators,1250,9.29,19330,1997
1933,AZ,97302,Railroad Conductors and Yardmasters,**,21.31,44330,1997
1934,AZ,97305,Locomotive Engineers,**,13.92,28960,1997
1935,AZ,97702,Aircraft Pilots and Flight Engineers,2030,*,***,1997
1936,AZ,97805,Service Station Attendants,1670,8.58,17850,1997
1937,AZ,97808,Parking Lot Attendants,1740,5.77,12010,1997
1938,AZ,97899,All Other Transportation and Related Workers,**,11.33,23570,1997
1939,AZ,97923,Excavating and Loading Machine Operators,2020,14.82,30820,1997
1940,AZ,97926,Dragline Operators,**,19.81,41210,1997
1941,AZ,97932,"Loading Machine Operators, Underground Mining",**,17.37,36130,1997
1942,AZ,97938,"Grader, Bulldozer, and Scraper Operators",2340,14.21,29560,1997
1943,AZ,97941,Hoist and Winch Operators,160,16.02,33320,1997
1944,AZ,97944,Crane and Tower Operators,430,14.44,30040,1997
1945,AZ,97947,Industrial Truck and Tractor Operators,4170,11.46,23840,1997
1946,AZ,97951,Conveyor Operators and Tenders,360,11.67,24260,1997
1947,AZ,97953,Pump Operators,40,14.94,31080,1997
1948,AZ,97956,Operating Engineers,1650,15.86,32990,1997
1949,AZ,97989,All Other Material-Moving Equipment Operators,1720,11.03,22940,1997
1950,AZ,97999,All Other Transportation and Material-Moving Equipment Operators,1010,12.88,26790,1997
1951,AZ,98000,"Helpers, Laborers, and Material Movers, Hand",**,*,*,1997
1952,AZ,98102,"Helpers, Mechanics and Repairers",12720,10.09,20980,1997
1953,AZ,98311,"Helpers, Brick and Stonemasons and Hard Tile Setters",1550,9.69,20140,1997
1954,AZ,98312,"Helpers, Carpenters and Related Workers",4450,8.90,18510,1997
1955,AZ,98313,"Helpers, Electricians and Power-Line Transmission Installers",1950,8.33,17330,1997
1956,AZ,98314,"Helpers, Painters, Paperhangers, Plasterers, and Stucco Masons",1440,8.81,18320,1997
1957,AZ,98315,"Helpers, Plumbers, Pipefitters, and Steamfitters",1610,8.95,18610,1997
1958,AZ,98316,"Helpers, Roofers",800,7.72,16070,1997
1959,AZ,98319,"Helpers, All Other Construction Trades Workers",2430,8.55,17790,1997
1960,AZ,98323,"Helpers, Extractive Workers",170,9.04,18800,1997
1961,AZ,98502,Machine Feeders and Offbearers,1380,7.95,16540,1997
1962,AZ,98705,Refuse and Recyclable Material Collectors,2930,12.71,26430,1997
1963,AZ,98799,"All Other Freight, Stock, and Material Movers, Hand",8880,8.10,16840,1997
1964,AZ,98902,Hand Packers and Packagers,16750,7.21,14990,1997
1965,AZ,98905,Vehicle Washers and Equipment Cleaners,5740,6.86,14270,1997
1966,AZ,98999,"All Other Helpers, Laborers, and Material Movers, Hand",19640,8.31,17290,1997
1967,AR,10000,Managerial and Administrative Occupations,,,,
1968,AR,13000,Staff and Administrative Specialty Managerial Occupations,**,15.75,32760,1997
1969,AR,13002,Financial Managers,4020,21.49,44710,1997
1970,AR,13005,"Personnel, Training, and Labor Relations Managers",1390,19.42,40400,1997
1971,AR,13008,Purchasing Managers,1160,18.54,38570,1997
1972,AR,13011,"Marketing, Advertising, and Public Relations Managers",2140,24.01,49930,1997
1973,AR,13014,Administrative Services Managers,1790,20.30,42220,1997
1974,AR,13017,"Engineering, Mathematical, and Natural Sciences Managers",1490,27.69,57590,1997
1975,AR,15000,Line and Middle Management Industry Specific Managerial Occupations,**,18.66,38810,1997
1976,AR,15002,Postmasters and Mail Superintendents,600,20.55,42750,1997
1977,AR,15005,Education Administrators,3600,23.70,49300,1997
1978,AR,15008,Medicine and Health Services Managers,1820,21.73,45200,1997
1979,AR,15011,Property and Real Estate Managers and Administrators,550,15.28,31790,1997
1980,AR,15014,Industrial Production Managers,2250,23.28,48410,1997
1981,AR,15017,Construction Managers,1420,21.43,44580,1997
1982,AR,15021,"Mining, Quarrying, and Oil and Gas Well Drilling Managers",**,14.14,29420,1997
1983,AR,15023,"Communications, Transportation, and Utilities Operations Managers",1680,24.39,50730,1997
1984,AR,15026,Food Service and Lodging Managers,2110,12.76,26540,1997
1985,AR,15032,Lawn Service Managers,30,11.00,22890,1997
1986,AR,19000,Other Managerial and Administrative Occupations,**,18.14,37730,1997
1987,AR,19002,"Public Administration Chief Executives, Legislators, and General Administrators",860,14.29,29730,1997
1988,AR,19005,General Managers and Top Executives,26290,23.68,49250,1997
1989,AR,19999,All Other Managers and Administrators,3860,23.05,47940,1997
1990,AR,20000,"Professional, Paraprofessional, and Technical Occupations",,,,
1991,AR,21000,Management Support Occupations,**,12.49,25970,1997
1992,AR,21102,Insurance Underwriters,300,18.88,39270,1997
1993,AR,21105,Credit Analysts,60,15.48,32200,1997
1994,AR,21108,Loan Officers and Counselors,1600,17.48,36360,1997
1995,AR,21111,Tax Preparers,340,10.53,21890,1997
1996,AR,21114,Accountants and Auditors,4980,17.22,35810,1997
1997,AR,21117,Budget Analysts,170,16.99,35330,1997
1998,AR,21199,All Other Financial Specialists,900,18.35,38160,1997
1999,AR,21302,"Wholesale and Retail Buyers, Except Farm Products",710,16.69,34720,1997
2000,AR,21305,"Purchasing Agents and Buyers, Farm Products",250,14.43,30020,1997
2001,AR,21308,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1370,16.91,35170,1997
2002,AR,21505,"Special Agents, Insurance",680,18.87,39240,1997
2003,AR,21508,"Employment Interviewers, Private or Public Employment Service",960,11.37,23650,1997
2004,AR,21511,"Personnel, Training, and Labor Relations Specialists",2630,11.87,24700,1997
2005,AR,21902,Cost Estimators,940,17.82,37070,1997
2006,AR,21908,Construction and Building Inspectors,470,13.17,27380,1997
2007,AR,21911,"Compliance Officers and Enforcement Inspectors, Except Construction",1810,14.82,30830,1997
2008,AR,21914,"Tax Examiners, Collectors, and Revenue Agents",820,13.15,27340,1997
2009,AR,21917,Assessors,230,10.95,22770,1997
2010,AR,21921,"Claims Examiners, Property and Casualty Insurance",260,18.60,38680,1997
2011,AR,21999,All Other Management Support Workers,6240,14.27,29680,1997
2012,AR,22000,Engineers and Related Occupations,**,*,*,1997
2013,AR,22102,Aeronautical and Astronautical Engineers,**,30.28,62980,1997
2014,AR,22105,"Metallurgists and Metallurgical, Ceramic, and Materials Engineers",60,26.36,54840,1997
2015,AR,22114,Chemical Engineers,200,24.46,50880,1997
2016,AR,22121,"Civil Engineers, Including Traffic",580,23.36,48580,1997
2017,AR,22126,Electrical and Electronic Engineers,600,26.09,54270,1997
2018,AR,22127,Computer Engineers,400,20.32,42270,1997
2019,AR,22128,"Industrial Engineers, Except Safety",650,21.43,44560,1997
2020,AR,22132,"Safety Engineers, Except Mining",**,23.40,48670,1997
2021,AR,22135,Mechanical Engineers,880,21.37,44460,1997
2022,AR,22199,All Other Engineers,1060,22.57,46950,1997
2023,AR,22302,"Architects, Except Landscape and Marine",330,17.59,36600,1997
2024,AR,22308,Landscape Architects,40,14.17,29470,1997
2025,AR,22311,Surveyors and Mapping Scientists,320,18.97,39460,1997
2026,AR,22502,Civil Engineering Technicians and Technologists,170,15.38,31990,1997
2027,AR,22505,Electrical and Electronic Engineering Technicians and Technologists,900,13.83,28770,1997
2028,AR,22508,Industrial Engineering Technicians and Technologists,190,14.86,30900,1997
2029,AR,22511,Mechanical Engineering Technicians and Technologists,270,16.10,33480,1997
2030,AR,22514,Drafters,1290,12.55,26100,1997
2031,AR,22517,"Estimators and Drafters, Utilities",**,16.36,34030,1997
2032,AR,22521,Surveying and Mapping Technicians,520,12.23,25440,1997
2033,AR,22599,All Other Engineering and Related Technicians and Technologists,1020,14.68,30520,1997
2034,AR,24000,Natural Scientists and Related Occupations,**,*,*,1997
2035,AR,24105,"Chemists, Except Biochemists",410,17.07,35510,1997
2036,AR,24111,"Geologists, Geophysicists, and Oceanographers",140,26.63,55390,1997
2037,AR,24199,All Other Physical Scientists,220,18.60,38690,1997
2038,AR,24302,Foresters and Conservation Scientists,390,20.06,41720,1997
2039,AR,24305,Agricultural and Food Scientists,130,20.91,43500,1997
2040,AR,24308,Biological Scientists,460,22.90,47640,1997
2041,AR,24311,Medical Scientists,40,29.57,61510,1997
2042,AR,24399,All Other Life Scientists,420,15.08,31360,1997
2043,AR,24502,"Biological, Agricultural, and Food Technicians and Technologists, Except Health",300,13.07,27190,1997
2044,AR,24505,"Chemical Technicians and Technologists, Except Health",320,13.82,28740,1997
2045,AR,24599,All Other Physical and Life Science Technicians and Technologists,290,13.16,27370,1997
2046,AR,25000,"Computer, Mathematical, Operations Research, and Related Occupations",**,13.19,27430,1997
2047,AR,25102,"Systems Analysts, Electronic Data Processing",1770,19.02,39570,1997
2048,AR,25103,Data Base Administrators,700,23.34,48550,1997
2049,AR,25104,Computer Support Specialists,1630,16.16,33610,1997
2050,AR,25105,Computer Programmers,1610,20.21,42030,1997
2051,AR,25108,Computer Programmer Aides,330,12.90,26840,1997
2052,AR,25111,"Programmers, Numerical Tool and Process Control",30,15.62,32480,1997
2053,AR,25199,All Other Computer Scientists,220,16.52,34370,1997
2054,AR,25302,"Operations and Systems Researchers and Analysts, Except Computer",40,13.33,27730,1997
2055,AR,25315,"Financial Analysts, Statistical",60,28.99,60300,1997
2056,AR,27000,"Social Scientists and Other Social, Recreational, and Religious Occupations",**,12.38,25740,1997
2057,AR,27102,"Economists, Including Market Research Analysts",100,20.56,42760,1997
2058,AR,27105,Urban and Regional Planners,90,14.83,30850,1997
2059,AR,27108,Psychologists,380,21.36,44430,1997
2060,AR,27199,All Other Social Scientists,380,16.16,33610,1997
2061,AR,27302,"Social Workers, Medical and Psychiatric",1180,15.43,32090,1997
2062,AR,27305,"Social Workers, Except Medical and Psychiatric",2120,12.47,25940,1997
2063,AR,27307,Residential Counselors,800,8.77,18240,1997
2064,AR,27308,Human Services Workers,3060,8.90,18510,1997
2065,AR,27311,Recreation Workers,770,8.70,18100,1997
2066,AR,27502,Clergy,80,15.59,32420,1997
2067,AR,28000,Law and Related Occupations,**,*,*,1997
2068,AR,28102,Judges and Magistrates,220,15.81,32880,1997
2069,AR,28105,"Adjudicators, Hearings Officers, and Judicial Reviewers",700,13.95,29010,1997
2070,AR,28108,Lawyers,2060,29.33,61010,1997
2071,AR,28302,Law Clerks,380,11.84,24630,1997
2072,AR,28305,Paralegal Personnel,690,12.91,26850,1997
2073,AR,28308,Title Searchers,260,10.56,21960,1997
2074,AR,28311,Title Examiners and Abstractors,210,11.00,22880,1997
2075,AR,28399,"All Other Legal Assistants and Technicians, Except Clerical",90,13.53,28150,1997
2076,AR,31000,"Teachers, Educators, Librarians, and Related Occupations",**,7.01,14580,1997
2077,AR,31114,"Nursing Instructors, Postsecondary",300,*,38010,1997
2078,AR,31117,"Graduate Assistants, Teaching",2000,*,15140,1997
2079,AR,31202,"Life Sciences Teachers, Postsecondary",180,*,45960,1997
2080,AR,31204,"Chemistry Teachers, Postsecondary",100,*,51630,1997
2081,AR,31206,"Physics Teachers, Postsecondary",50,*,46630,1997
2082,AR,31209,"All Other Physical Sciences Teachers, Postsecondary",30,*,39460,1997
2083,AR,31212,"Health Assessment and Treatment Teachers, Postsecondary",140,*,35490,1997
2084,AR,31213,"Communications Teachers, Postsecondary",110,*,41590,1997
2085,AR,31214,"English Language and Literature Teachers, Postsecondary",260,*,42920,1997
2086,AR,31215,"Foreign Language and Literature Teachers, Postsecondary",70,*,42910,1997
2087,AR,31218,"Art, Drama, and Music Teachers, Postsecondary",280,*,42600,1997
2088,AR,31224,"Mathematical Sciences Teachers, Postsecondary",240,*,43680,1997
2089,AR,31226,"Computer Science Teachers, Postsecondary",170,*,49810,1997
2090,AR,31231,"Anthropology and Sociology Teachers, Postsecondary",90,*,38290,1997
2091,AR,31233,"Economics Teachers, Postsecondary",70,*,53590,1997
2092,AR,31234,"Geography Teachers, Postsecondary",30,*,52470,1997
2093,AR,31235,"History Teachers, Postsecondary",120,*,47300,1997
2094,AR,31236,"Political Science Teachers, Postsecondary",60,*,46400,1997
2095,AR,31237,"Psychology Teachers, Postsecondary",110,*,44210,1997
